species,worksGoodWith,worksBadWith,seedingTimeInMonths,harvestTimeInWeeksFrom,harvestTimeInWeeksTo,waterRequirement,fertilizerRequirement,height
ackerbohnen,kartoffeln,,,,,,,
aubergine,"kohlarten, ringelblume, salat, spinat","erbsen, fenchel, kartoffein, tomaten, paprika, rote bete","5,6,7",12,12,,,
auberginen,,frühkartoffeln,,,,,,
baldrian,buschbohnen,,,,,,,
basilikum,gurken,,,,,,,
blumenkohl,"buschbohnen, büschelschön, sellerie, tomaten, brokkoli, frühkartoffeln","zwiebeln, kohlarten, kartoffeln","4,5,6,7",8,12,,,
bohnen,"chinakohl, kohlrabi, kopfsalat, radieschen, rettich","erbsen, fenchel, knoblauch, lauch (porree), zwiebeln",,,,,,
bohnenkraut,"buschbohnen, zwiebeln",,,,,,,
borretsch,"buschbohnen, kartoffeln, kohlarten, kopfsalat, erdbeeren, frühkartoffeln",,,,,,,
brokkoli,"buschbohnen, büschelschön, sellerie, tomaten, blumenkohl","zwiebeln, kohlarten, kartoffeln","5,6",7,10,,,
buschbohnen,"baldrian, bohnenkraut, borretsch, dill, erdbeeren, gurken, kartoffeln, kohlarten, mangold, radieschen, rettich, rhabarber, rote bete, sellerie, tomaten, blumenkohl, brokkoli, frühkartoffeln","erbsen, fenchel, stangenbohnen, zwiebeln, lauch (porree)","5,6,7",13,22,,,
büschelschön,"blumenkohl, brokkoli, kohlarten",,,,,,,
chinakohl,"bohnen, erbsen, kohlrabi, spinat","radieschen, rettich",7,11,13,3,,
dill,"buschbohnen, gurken, kopfsalat, möhren, zwiebeln",,,,,,,
endivien,"fenchel, kohlarten, möhren",radicchio,,,,,,
erbsen,"kohlarten, möhren, radieschen, rettich, rhabarber, salat, spinat, chinakohl, fenchel, kohlrabi, kopfsalat","bohnen, erbsen, frühkartoffeln, lauch (porree), tomaten, zwiebeln, aubergine, buschbohnen, kartoffeln","3,4,5",8,12,,,
erdbeeren,"borretsch, buschbohnen, knoblauch, kopfsalat, lauch (porree), radieschen, schnittlauch, spinat, zwiebeln, kohlrabi",kohlarten,,,,,,
farnkraut,kartoffeln,,,,,,,
feldsalat,fenchel,,,,,,,
fenchel,"endivien, erbsen, feldsalat, gurken, kopfsalat, pflücksalat, salbei","bohnen, kohlrabi, tomaten, aubergine, buschbohnen","4,5,6,7",12,16,,,
frühkartoffeln,"blumenkohl, buschbohnen, borretsch, frühkohl, pfefferminze","auberginen, erbsen, paprika, rote bete, tomaten",,,,,,
frühkohl,"kartoffeln, frühkartoffeln",,,,,,,
